EIN,EIN,EIND,NL,EU,51.453333,5.388889,945237,Eindhoven
YUL,YMQ,YMQA,CA,NA,45.463889,-73.750000,937357,Montreal
RIX,RIX,RIGA,LV,EU,56.925000,23.972222,933363,Riga
WMI,WAW,WARS,PL,EU,52.460298,20.657294,932470,Warsaw
EZE,BUE,BUEA,AR,SA,-34.820000,-58.533889,914716,Buenos Aires
CRL,BRU,BRUS,BE,EU,50.459197,4.453817,899595,Brussels
LCY,LON,LOND,UK,EU,51.500000,0.050000,895836,London
SCL,SCL,SCLA,CL,SA,-33.392980,-70.785800,895787,Santiago
TRN,TRN,TURI,IT,EU,45.201111,7.648056,895019,Turin
FUK,FUK,JFUK,JP,AS,33.582222,130.453333,886594,Fukuoka
FUE,FUE,FUER,ES,EU,28.452717,-13.863761,878746,Fuerteventura
PUS,PUS,PUSA,KR,AS,35.179444,128.938333,852460,Busan
SOF,SOF,SOFI,BG,EU,42.700000,23.400000,837821,Sofia
VVO,VVO,VLAD,RU,EU,43.398950,132.148020,832786,Vladivostok
PFO,PFO,PAPH,CY,AS,34.716667,32.483333,821503,Paphos
JED,JED,JEDA,SA,AS,21.683333,39.150000,807944,Jeddah
KEF,REK,REYK,IS,EU,63.985000,-22.606111,807195,Reykjavik
JTR,JTR,THIR,GR,EU,36.400000,25.483333,805704,Santorini (Thira)
CPT,CPT,CPTA,ZA,AF,-33.964722,18.602222,794082,Cape Town
LGA,NYC,NYCA,US,NA,40.779444,-73.875833,776452,New York
BSL,EAP,BASE,CH,EU,47.589583,7.529914,776018,Basel
MRS,MRS,MARS,FR,EU,43.435600,5.216400,774114,Marseille
ABZ,ABZ,ABER,UK,EU,57.204167,-2.198056,773779,Aberdeen
LYS,LYS,LYON,FR,EU,45.725556,5.081667,771022,Lyon
MRV,MRV,MINE,RU,EU,44.216667,43.100000,768503,Mineralnye Vody
VNO,VNO,VILN,LT,EU,54.633333,25.283333,767364,Vilnius
ATL,ATL,ATLA,US,NA,33.640833,-84.427222,764005,Atlanta
RUH,RUH,RUHA,SA,AS,24.966667,46.700000,759471,Riyadh
ROV,ROV,ROSV,RU,EU,47.258208,39.818089,756562,Rostov-on-Don
BFS,BFS,BELF,UK,EU,54.653333,-6.224722,755737,Belfast
BRI,BRI,BARI,IT,EU,41.141111,16.788333,751068,Bari
FLR,FLR,FLOR,IT,EU,43.810278,11.197778,746917,Florence
UFA,UFA,UFAI,RU,EU,54.558128,55.864620,737615,Ufa
MAA,MAA,IMAA,IN,AS,12.993333,80.176944,736141,Chennai
USM,USM,USMT,TH,AS,9.550000,100.066667,734583,Koh Samui / Samui Island
GOT,GOT,GOTH,SE,EU,57.666667,12.283333,728539,Gothenburg
SSH,SSH,SHAR,EG,AF,27.977222,34.395000,713430,Sharm El Sheikh
RHO,RHO,RHOD,GR,EU,36.406501,28.086290,710646,Rhodes
KBV,KBV,KBVT,TH,AS,8.099850,98.985270,701111,Krabi
AAQ,AAQ,ANAP,RU,EU,45.002097,37.347272,700063,Anapa
CTS,SPK,SPKA,JP,AS,42.795833,141.669167,698062,Sapporo
GDN,GDN,GADA,PL,EU,54.376558,18.470078,673931,Gdansk
BEG,BEG,BELI,RS,EU,44.819167,20.312222,672251,Belgrade
HAJ,HAJ,HANN,DE,EU,52.461667,9.684722,670331,Hannover
IAD,WAS,WASA,US,NA,38.950000,-77.450000,667960,Washington
BJV,BJV,BODR,TR,AS,37.250000,27.683333,665199,Bodrum
ZAG,ZAG,ZAGR,HR,EU,45.743056,16.070278,658449,Zagreb
DFW,DFW,DFWA,US,NA,32.894444,-97.029723,656091,Dallas
BEY,BEY,BEIR,LB,AS,33.812778,35.490278,654572,Beirut
BHD,BFS,BELF,UK,EU,54.616667,-5.883333,654318,Belfast
ADL,ADL,ADLA,AU,OC,-34.948333,138.534722,653790,Adelaide
SPU,SPU,SPLI,HR,EU,43.525000,16.292222,652151,Split
DOH,DOH,DOHA,QA,AS,25.273056,51.608056,651246,Doha
KGD,KGD,KALI,RU,EU,54.890050,20.592633,649681,Kaliningrad
COK,COK,ICOK,IN,AS,9.944444,76.271944,649156,Kochi
TBS,TBS,TBLI,GE,AS,41.666667,44.950000,639747,Tbilisi
BLR,BLR,IBLR,IN,AS,13.199588,77.705269,638723,Bangalore
GOI,GOI,IGOI,IN,AS,15.383333,73.833333,636999,Goa
CFU,CFU,CORF,GR,EU,39.601389,19.910278,633281,Corfu
SEA,SEA,SEAA,US,NA,47.447222,-122.305556,628739,Seattle
AUH,AUH,AUHA,AE,AS,24.433333,54.650000,622804,Abu Dhabi
MAH,MAH,MENO,ES,EU,39.861389,4.215278,621340,Menorca
TLL,TLL,TLL,EE,EU,59.413317,24.832844,610785,Tallinn
MLE,MLE,MLEA,MV,AS,4.201389,73.524444,610524,Male
HYD,HYD,IHYD,IN,AS,17.230538,78.430281,610246,Hyderabad
DEN,DEN,DENA,US,NA,39.862317,-104.675331,604740,Denver
KHH,KHH,KHHT,TW,AS,22.572500,120.345278,602104,Kaohsiung
KUF,KUF,SAMA,RU,EU,53.500000,50.150000,599794,Samara
CHC,CHC,CHCN,NZ,OC,-43.488333,172.533333,596937,Christchurch
NGO,NGO,JNGO,JP,AS,34.859876,136.807337,593989,Nagoya
KZN,KZN,KAZA,RU,EU,55.606186,49.278728,586484,Kazan
CMN,CAS,CASA,MA,AF,33.366667,-7.586667,586317,Casablanca
GMP,SEL,SELA,KR,AS,37.551111,126.785278,584911,Seoul
DBV,DBV,DUBR,HR,EU,42.563333,18.265278,581849,Dubrovnik
IAH,HOU,HOUA,US,NA,29.983333,-95.340000,581688,Houston
CAN,CAN,CCAN,CN,AS,23.392440,113.298790,576158,Guangzhou
TSF,VCE,VENI,IT,EU,45.648400,12.194422,574041,Venice
ISB,ISB,ISBA,PK,AS,33.613889,73.104167,565172,Islamabad
EVN,EVN,EVNA,AM,AS,40.150000,44.400000,562395,Yerevan
KWI,KWI,KWIA,KW,AS,29.230278,47.975278,559339,Kuwait
KJA,KJA,KRAS,RU,EU,56.172947,92.493278,555289,Krasnoyarsk
YYC,YYC,YYCA,CA,NA,51.114084,-114.021263,550946,Calgary
CHQ,HER,CRET,GR,EU,35.532500,24.148333,546961,Crete
ORK,ORK,CORK,IE,EU,51.843333,-8.490278,546489,Cork
TLS,TLS,TOUS,FR,EU,43.630278,1.365000,544266,Toulouse
CEB,CEB,CEBP,PH,AS,10.331667,123.906667,536180,Cebu
KTM,KTM,KTMA,NP,AS,27.700556,85.363056,534764,Kathmandu
KIV,KIV,KIVA,MD,EU,46.916667,28.933333,533329,Chisinau
SJO,SJO,SJOA,CR,NA,10.000000,-84.200000,532671,San Jose
CNS,CNS,CNSA,AU,OC,-16.883333,145.751667,528568,Cairns
TIV,TIV,TIVA,ME,EU,42.403611,18.725556,528022,Tivat
ADA,ADA,ADAN,TR,AS,36.983611,35.280833,516633,Adana
OOL,OOL,OOLA,AU,OC,-28.183333,153.483333,514393,Gold Coast
WRO,WRO,WROC,PL,EU,51.100000,16.883333,511491,Wroclaw
BOJ,BOJ,BURG,BG,EU,42.569600,27.515200,509295,Bourgas
CEK,CEK,CHEL,RU,EU,55.300000,61.500000,505158,Chelyabinsk
CAG,CAG,CAGL,IT,EU,39.247222,9.061111,502941,Cagliari
KHV,KHV,KHAB,RU,EU,48.516667,135.183333,499853,Khabarovsk Novy
MSQ,MSQ,MSQA,BY,EU,53.882470,28.030730,497797,Minsk
IKT,IKT,IRKU,RU,EU,52.266667,104.416667,488797,Irkutsk
BOD,BOD,BORD,FR,EU,44.829444,-0.714444,485346,Bordeaux
FNC,FNC,FUNC,PT,EU,32.694167,-16.778056,481898,Madeira
VRN,VRN,VERO,IT,EU,45.395706,10.888533,480131,Verona
AMM,AMM,AMMA,JO,AS,31.716667,36.000000,478225,Amman
IKA,THR,THRA,IR,AS,35.409700,51.150800,475531,Tehran
CCS,CCS,CCSA,VE,SA,10.606389,-66.989167,474533,Caracas
